type, location, category
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/aSjRqbntu9w.txt,not received payment
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/eJ9sHoVXWzU.txt
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/Hw0Zp9aDybI.txt,payment modification
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/TU8M7oALOF8.txt
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/BURXb7yVtO8.txt,paid but not received
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/WdL1jPc17Ic.txt,fee
TEST,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/Q8_qw2duGuk.txt,enforcement
TEST,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/OMeAI7KIRbU.txt,login
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/dPH-iD8eD9g.txt,complaints
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/DRy1XyPK1ec.txt,info about parent
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/AoqZZbi3Ukk.txt,online action
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/JjINEf0D_1A.txt,estimate payments
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/L6_xFGrhTx0.txt
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/Fbl94dFF_Dg.txt,make payment
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/U6-GJ2yASss.txt,enforcement
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/FZfqylWjfR8.txt,addressing check
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/UklfwdYsWv0.txt
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/Ypqx7-0XjpE.txt
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/Wwy8tzN5pjY.txt,paid but not received
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/OOu__J8hCjY.txt
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/IG4k_zDfDeE.txt
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/fJfE65r67vE.txt
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/f8XoRvrjSRo.txt,contact human
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/GpkbMSVkvCE.txt,emancipation
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/IU8zJfETYAo.txt,change of information
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/AtYYE6Sh5uw.txt
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/ciy-oMR4dK8.txt,account balance
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/bvo6ZW7IURc.txt
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/AzUX0bXM_gY.txt,change of information
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/f0p5yg3y82Y.txt,complaints
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/eyPw6a86jx4.txt,payment modification
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/J0uy9dqmB3A.txt,office locations
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/MFsgQQ8rALA.txt,incarceration
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/HUm_uU2Wsa4.txt,online action
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/Puk5sPfU3xA.txt,case status
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/Rcxs3ZIe6fc.txt,contact human
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/AkiSbSoCung.txt,appointments
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/fRdCqUR0rhE.txt,payment modification
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/HxQqyVTpHbA.txt,card
TEST,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/BE7fRukqKHo.txt
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/ZtjwYU3CHPQ.txt
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/cirMfKnplFQ.txt,incarceration
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/RdF7iaJ5VIo.txt,payment modification
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/YRCyQ56yNMI.txt,account balance
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/JK0XcUXWURo.txt,documentation
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/IPP23TB5lt0.txt,make payment
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/L6KJFAqf9yY.txt,payment timelines
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/HkAPBXH9caA.txt,payment timelines
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/EvqbkcGshDI.txt,not received payment
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/UnHwhGZ6_OM.txt,documentation
TEST,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/apj8rqd-lyg.txt,arrears
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/WoGLBX5Svh8.txt,addressing check
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/aAey5jztB8s.txt,documentation
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/DTBv2KC7EAE.txt,interstate
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/CkqDJGY5mrc.txt,card
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/J5wD7Qv6YJg.txt,not received payment
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/efiIJamRy9M.txt,verification
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/TdsP67SE9zc.txt,contact human
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/YzZEcto9pj8.txt,complaints
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/c2kM-RzFgoI.txt,enforcement
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/Q6Pcy6jnCyM.txt,visitation
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/MFfw5uRCgUE.txt,open case
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/JuDzSviJOg0.txt
TEST,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/OCGEhv1uvTc.txt,account information
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/A7Ox9e34FKo.txt,account balance
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/OGC0q-LZVBA.txt,estimate payments
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/DKjpth-1_dY.txt,online action
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/WKcAyLJOlB0.txt,account balance
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/FugMq1f-jk8.txt,payment timelines
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/BYjcRZKxgKc.txt
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/EwmLoDGXa5g.txt,arrears
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/BXND5mRLcp8.txt,snap
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/YAvmu4aMNZo.txt,arrears
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/BQBEnQzY8AE.txt,arrears
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/NQpopPMN0Ew.txt,change of information
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/MLWtgev1D2U.txt,cant make payments
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/LJplD6rpzMg.txt,child care
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/ZDm--gSilvM.txt,case status
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/CPg40RWUmDA.txt,not received payment
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/IdSwoPBhKyU.txt,arrears
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/N12_eNuuv5M.txt
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/YJKgh7u-tKs.txt,license suspension
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/N0DF-n-OINY.txt,contact human
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/c_kIRc-vlMI.txt,case status
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/M8qxV_Ne5D8.txt,arrears
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/X9GLOvDHrLE.txt,case status
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/XkDEfEan_hM.txt
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/c0kImUIb3ok.txt,taxes
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/JEZNmvCM99s.txt,change of information
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/OrcV6O92odk.txt,change employment information
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/IO41kHsYlCw.txt,documentation
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/Wcgry2Feo3k.txt,payment timelines
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/a86i5pkh4CE.txt,child care
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/R8Ry6UA_TU0.txt,insufficient response
TEST,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/PVaqaZ-hgZU.txt,appointments
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/MPNzC1lmFpg.txt,office locations
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/J69leWwsIDw.txt,contact human
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/f2JVSOCQncs.txt,enforcement
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/J_-7xWrlKzM.txt,online action
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/Cp-_CsrjtV8.txt
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/Qg8NiPfV5cM.txt,emancipation
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/fNPX751VjRs.txt,enforcement
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/bSUI7lZsWEo.txt,enforcement
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/WSIfs9CPzlM.txt,payment timelines
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/Oy2MS0AckdQ.txt
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/KvsLTpTZP08.txt,paternity
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/enBEbYEyscc.txt,not received payment
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/RJPVhhX8pmQ.txt,open case
TEST,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/TM4k_OnVowc.txt,account balance
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/Ba9RA3Y7cFk.txt,case status
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/EpMoEVRBoEo.txt,complaints
VALIDATION,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/dkPEh5mkzIo.txt,taxes
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/fw3LBl3GZOY.txt
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/M5nrUsaakH4.txt,info about parent
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/JVGsZru5UMA.txt,estimate payments
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/U2yJ7A65PCM.txt,payment timelines
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/SNKOg0BkTAU.txt,support inquiries
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/aCEJiGHXagU.txt,gratitude
TEST,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/FuNdCUEAStU.txt,change employment information
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/QfTvUOv4hAM.txt,arrears
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/DmNlLMJ7QoQ.txt,estimate payments
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/Is_gGk7YDrQ.txt,contact human
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/IwA49XzEyGQ.txt,documentation
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/JBgx1U5FeQA.txt,email
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/AvSbswKAAMU.txt
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/Ht8cUuKEzrM.txt,contact human
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/amis10dndVM.txt,payment modification
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/QIxxd0FbT_U.txt,documentation
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/Jwu8faZwIaA.txt,emancipation
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/dF3jvIlsn68.txt,make payment
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/dVhE0gy6i2I.txt,support inquiries
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/SHbWzdcQax0.txt,contact human
TRAIN,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/MP5N_YAP8yE.txt,documentation
TEST,gs://webchat-analytics.appspot.com/mdhs-csa-analytics-prod/export_data-mdhs_csa_analytics_prod-2019-10-25T19:43:26.618Z/files/KHH7-RabVY4.txt,callcenter not answering
